,dtype,unique,missing,skewness,kurtosis,iqr
D,i,4,0,0.0,-1.3615891722531035,75.0
H,i,5,0,-0.10930738469799127,-1.1326428581888992,100.0
L,i,4,0,0.07365841406353592,-1.3028546961446545,100.0
x,f,2,0,1.8733807977885208,1.5155539856166778,0.0
Dn,i,3,0,0.15399225433772265,0.01594108030792807,25.0
Se,i,2,0,2.0473397698797373,2.200315835791895,0.0
Eout,f,3,0,0.6806567519279055,-1.410194431671964,1.0
hv,f,2,0,-0.09563111095147575,-1.9988022867701756,0.5
Hs,i,5,0,-1.3442103665294605,0.3285828661048713,10.0
Sv,i,2,0,-0.7866366089670184,-1.3867215305329301,9000.0
collection current,f,504,0,0.0,0.0,9.112789770578361e-15
emitted current,f,504,0,0.0,0.0,1.4624717069142568e-14
emitted current.1,f,504,0,0.5192969362219173,-0.42847021250729433,14624.717069142567
collection current.1,f,504,0,0.7081812572327798,-0.10185386184754508,9112.789770578362
