,dtype,unique,missing,skewness,kurtosis,iqr
D,i,10,0,0.0027425029459664328,-1.2295880238751768,50.0
H,i,10,0,0.20704446368524554,-1.0306291209484375,40.0
L,i,10,0,0.0027425029459664328,-1.2295880238751768,50.0
x,f,5,0,1.5967761149257207,1.0794410986060514,0.25
Dn,i,4,0,0.5138406529410228,2.658785596974824,25.0
Se,i,4,0,7.495532473950189,55.61158986328042,0.0
Eout,f,7,0,-2.422277938344425,4.801131064594184,0.0
hv,f,7,0,1.2097794086225546,1.0041932912828502,0.5
Hs,i,5,0,0.0,-1.3516971686896435,20.0
Sv,i,5,0,7.698970974883023,57.79732683049185,0.0
collection current,f,22376,0,0.0,0.0,7.33767525532161e-16
emitted current,f,29500,0,0.0,0.0,1.1729249363696126e-15
Je,f,29500,0,1.5860643129140344,2.7704455033704765,1172.9249363696126
Jc,f,22376,0,1.5763822176311828,2.246742228780934,733.767525532161
